級數,字彙,詞類,中文釋義,註解,學術字彙,變化型態
初級,a,art.,一(個),後接母音開頭之字時為 an,,
初級,A.M.,adv.,上午,= a.m.= AM,,
中級,abandon,verb,拋棄、捨棄、中止,,L8,"abandons, abandoning, abandoned"
中級,abandon,noun,盡情、放縱,,L8,
中高級,abbey,noun,大修道院,,,abbeys
中高級,abbreviate,verb,縮寫、使簡短,,,"abbreviates, abbreviating, abbreviated"
中高級,abbreviation,noun,縮寫、簡稱,,,abbreviations
中高級,abdomen,noun,腹部,,,
中高級,abide,verb,容忍、遵守,,,"abides, abiding, abided, abode"
初級,ability,noun,能力、才能,,,abilities
初級,able,adj.,能夠的、有才能的,,,"abler, ablest"
中級,abnormal,adj.,不正常的,,L2,
中級,aboard,prep./adv.,在(交通工具)上,,,
中高級,abolish,verb,廢除,,,"abolishes, abolishing, abolished"
中高級,aboriginal,adj./noun,土著的；土著,,,aboriginals
中高級,aborigine,noun,原住民,,,aborigines
中高級,abortion,noun,流產、墮胎,,,abortions
中高級,abound,verb,大量存在、富足,,,"abounds, abounding, abounded"
初級,about,prep./adv.,大約、關於；大約、幾乎、在周圍,,,
初級,above,prep./adv.,在…上面、超過、大於,,,
初級,above,adv./adj.,上文、前文；前文述及的、上述的,,,
初級,abroad,adv.,在國外、到國外,,,
中高級,abrupt,adj.,突然的、唐突的,,,"abrupter, abruptest"
中級,absence,noun,缺席、不在場,,,absences
初級,absent,adj.,缺席的、不在場的、心不在焉的,,,
中高級,absent-minded,adj.,心不在焉的,,,
中級,absolute,adj./noun,完全的、絕對的；絕對,,,absolutes
中級,absorb,verb,吸收、併入,,,"absorbs, absorbing, absorbed"
中級,abstract,adj./noun,抽象的,,L6,abstracts
中級,abstract,noun,摘要,,L6,abstracts
中高級,abstraction,noun,抽象(概念)、抽取、提取,,L6,abstractions
中高級,absurd,adj./noun,荒謬的；荒誕(的事物),,,absurds
中高級,abundance,noun,大量、充裕,,,abundances
中高級,abundant,adj.,大量的,,,
中級,abuse,noun/verb,濫用、虐待,,,"abuses, abusing, abused"
中級,academic,adj.,學術的、學業的,,,
中級,academy,noun,學院、學會,,L5,academies
中高級,accelerate,verb,加速,,,"accelerates, accelerating, accelerated"
中高級,acceleration,noun,加速,,,accelerations
