級數,字彙,詞性,變化型態
800單字,absent,v./adj.,"absents, absenting, absented"
800單字,accept,v.,"accepts, accepting, accepted"
800單字,accident,n.,accidents
800單字,active,n./adj.,actives
800單字,activity,n.,activities
800單字,add,v.,"adds, adding, added"
800單字,address,n./v.,"addresses, addressing, addressed"
800單字,admire,v.,"admires, admiring, admired"
800單字,adult,n./adj.,adults
800單字,advertisement,n.,advertisements
800單字,advice,n.,advices
800單字,advise,v.,"advises, advising, advised"
800單字,affect,n./v.,"affects, affecting, affected"
800單字,against,prep.,
800單字,aim,n./v.,"aims, aiming, aimed"
800單字,air conditioner,n.,air conditioners
800單字,airlines,n.,
800單字,alarm,n./v.,"alarms, alarming, alarmed"
800單字,album,n.,albums
800單字,alike,adj./adv.,
800單字,alive,adj.,
800單字,alone,adj./adv.,
800單字,aloud,adv.,
800單字,alphabet,n.,alphabets
800單字,altogether,adv.,
800單字,ambulance,n.,ambulances
800單字,among,prep.,
800單字,amount,n./v.,"amounts, amounting, amounted"
800單字,ancient,n./adj.,ancients
800單字,angel,n.,angels
800單字,anger,n./v.,"angers, angering, angered"
800單字,ankle,n.,ankles
800單字,anywhere,adv.,
800單字,apologize,v.,"apologizes, apologizing, apologized"
800單字,appreciate,v.,"appreciates, appreciating, appreciated"
800單字,argue,v.,"argues, arguing, argued"
800單字,armchair,n.,armchairs
800單字,army,n./adj.,armies
800單字,arrange,v.,"arranges, arranging, arranged"
800單字,artist,n.,artists
800單字,asleep,adj.,
800單字,assistant,n.,assistants
800單字,assume,v.,"assumes, assuming, assumed"
800單字,attention,n.,attentions
800單字,available,adj.,
800單字,avoid,v.,"avoids, avoiding, avoided"
800單字,baby sitter,n.,baby sitters
800單字,backpack,n.,backpacks
800單字,backward,adj./adv.,
800單字,ball,n./v.,"balls, balling, balled"
800單字,balloon,n./v.,"balloons, ballooning, ballooned"
800單字,barbecue,n./v.,"barbecues, barbecuing, barbecued"
800單字,barber,n./v.,"barbers, barbering, barbered"
800單字,bark,n./v.,"barks, barking, barked"
800單字,base,n./v./adj.,"bases, basing, based, baser, basest"
800單字,basement,n.,basements
800單字,basic,adj.,
800單字,bathe,n./v.,"bathes, bathing, bathed"
800單字,beard,n./v.,"beards, bearding, bearded"
800單字,beat,n./v./adj.,"beats, beating, beaten"
800單字,beauty,n.,beauties
800單字,beer,n.,beers
800單字,beginner,n.,beginners
800單字,beginning,n.,beginnings
800單字,behave,v.,"behaves, behaving, behaved"
800單字,besides,adv.,
800單字,beyond,adv.,
800單字,bill,n./v.,"bills, billing, billed"
800單字,biology,n.,biologies
800單字,bitter,adj.,"bitterer, bitterest"
800單字,blame,n./v.,"blames, blaming, blamed"
800單字,bless,v.,"blesses, blessing, blessed, blest"
800單字,blood,n./v.,"bloods, blooding, blooded"
800單字,blouse,n./v.,"blouses, blousing, bloused"
800單字,board,n./v.,"boards, boarding, boarded"
800單字,bomb,n./v.,"bombs, bombing, bombed"
800單字,bone,n./v.,"bones, boning, boned"
800單字,bookcase,n.,
800單字,bother,n./v.,"bothers, bothering, bothered"
800單字,bowling,n.,
800單字,branch,n./v.,"branches, branching, branched"
800單字,brick,n./v.,"bricks, bricking, bricked"
800單字,broad,n./adj.,"broads, broader, broadest"
800單字,broadcast,n./v./adj.,"broadcasts, broadcasting, broadcasted"
800單字,brunch,n.,brunches
800單字,bucket,n./v.,"buckets, bucketing, bucketed"
800單字,buffet,n./v.,"buffets, buffeting, buffeted"
800單字,building,n.,buildings
800單字,bundle,n./v.,"bundles, bundling, bundled"
800單字,burger,n.,
800單字,burst,n./v.,"bursts, bursting"
800單字,cabbage,n.,cabbages
800單字,cable,n./v.,"cables, cabling, cabled"
800單字,cafeteria,n.,cafeterias
800單字,cage,n./v.,"cages, caging, caged"
800單字,calendar,n./v.,"calendars, calendaring, calendared"
800單字,calm,n./v./adj.,"calms, calming, calmed, calmer, calmest"
800單字,campus,n.,"campuses, campi"
800單字,cancel,v.,"cancels, canceling, cancelling, canceled, cancelled"
800單字,cancer,n.,cancers
800單字,captain,n./v.,"captains, captaining, captained"
800單字,careless,adj.,
800單字,carpet,n./v.,"carpets, carpeting, carpeted"
800單字,carrot,n.,carrots
800單字,cartoon,n./v.,"cartoons, cartooning, cartooned"
800單字,cash,n./v.,"cashes, cashing, cashed"
800單字,cause,n./v.,"causes, causing, caused"
800單字,ceiling,n.,ceilings
800單字,central,n./adj.,centrals
800單字,century,n.,centuries
800單字,cereal,n./adj.,cereals
800單字,certain,adj.,
800單字,channel,n./v.,"channels, channeling, channelling, channeled, channelled"
800單字,character,n.,characters
800單字,charge,n./v.,"charges, charging, charged"
800單字,chart,n./v.,"charts, charting, charted"
800單字,chase,n./v.,"chases, chasing, chased"
800單字,chemistry,n.,chemistries
800單字,chess,n.,
800單字,childhood,n.,childhoods
800單字,childish,adj.,
800單字,childlike,adj.,
800單字,chin,n./v.,"chins, chinning, chinned"
800單字,chubby,adj.,"chubbier, chubbiest"
800單字,classical,adj.,
800單字,clever,adj.,"cleverer, cleverest"
800單字,climate,n.,climates
800單字,closet,n./v./adj.,"closets, closeting, closeted"
800單字,coach,n./v.,"coaches, coaching, coached"
800單字,coast,n./v.,"coasts, coasting, coasted"
800單字,cockroach,n.,cockroaches
800單字,coin,n./v.,"coins, coining, coined"
800單字,cola,n.,colas
800單字,college,n.,colleges
800單字,colorful,adj.,
800單字,command,n./v.,"commands, commanding, commanded"
800單字,comment,n./v.,"comments, commenting, commented"
800單字,company,n.,companies
800單字,compare,v.,"compares, comparing, compared"
800單字,complain,v.,"complains, complaining, complained"
800單字,complete,v.,"completes, completing, completed"
800單字,concern,n./v.,"concerns, concerning, concerned"
800單字,confident,adj.,
800單字,confuse,v.,"confuses, confusing, confused"
800單字,congratulation,n.,
800單字,consider,v.,"considers, considering, considered"
800單字,considerate,adj.,
800單字,contact lens,n./v.,"contact lenses, contact lensing, contact lensed"
800單字,continue,v.,"continues, continuing, continued"
800單字,contract,n./v.,"contracts, contracting, contracted"
800單字,control,n./v.,"controls, controlling, controling, controlled, controled"
800單字,convenience store,n./v.,"convenience stores, convenience storing, convenience stored"
800單字,conversation,n.,conversations
800單字,corn,n./v.,"corns, corning, corned"
800單字,cotton,n.,cottons
800單字,cough,n./v.,"coughs, coughing, coughed"
800單字,couple,n./v.,"couples, coupling, coupled"
800單字,courage,n.,
800單字,court,n./v.,"courts, courting, courted"
800單字,cowboy,n.,cowboys
800單字,crab,n./v.,"crabs, crabbing, crabbed"
800單字,crayon,n./v.,"crayons, crayoning, crayoned"
800單字,cream,n./v./adj.,"creams, creaming, creamed"
800單字,create,v.,"creates, creating, created"
800單字,credit card,n./v.,"credit cards, credit carding, credit carded"
800單字,crime,n.,crimes
800單字,crowd,n./v.,"crowds, crowding, crowded"
800單字,crowded,adj.,
800單字,cruel,adj.,"crueler, crueller, cruelest, cruellest"
800單字,culture,n./v.,"cultures, culturing, cultured"
800單字,cure,n./v.,"cures, curing, cured"
800單字,curious,adj.,
800單字,current,n./adj.,currents
800單字,curtain,n./v.,"curtains, curtaining, curtained"
800單字,curve,n./v.,"curves, curving, curved"
800單字,custom,n./adj.,customs
800單字,customer,n.,customers
800單字,daily,n./adj./adv.,dailies
800單字,damage,n./v.,"damages, damaging, damaged"
800單字,danger,n.,dangers
